id,host_id,host_name,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
33400953,3400827,Nicole,40.79595,-73.97485,Entire home/apt,3,2,2019-04-21,0.74,1,0,380
16965705,3483600,Joshua,40.83498,-73.94214000000001,Private room,2,0,,,1,0,63
34819184,156850005,Sharon,40.756,-73.87756,Private room,1,1,2019-05-29,0.73,2,355,77
22579551,3231509,Annamaria,40.71775,-74.00607,Entire home/apt,14,13,2019-05-08,0.77,4,365,450
14571451,32454701,Maria,40.72824,-73.97824,Entire home/apt,1,198,2019-07-06,5.63,1,21,129
23630216,51969502,Jenny,40.7289,-73.98865,Private room,3,1,2018-03-16,0.06,1,0,53
9866779,50680795,Sierra,40.82976,-73.94663,Private room,8,1,2016-01-02,0.02,1,0,30
26555992,552288,Charles,40.699490000000004,-73.92383000000001,Entire home/apt,2,6,2019-06-26,0.54,1,0,65
35459559,46672441,Vivian,40.7488,-73.82191,Private room,3,0,,,1,90,70
30937759,219517861,Sonder (NYC),40.748459999999994,-73.97610999999999,Entire home/apt,2,5,2019-05-18,0.99,327,62,263
263502,1382749,Shaun,40.72059,-73.9567,Entire home/apt,180,24,2015-08-19,0.26,1,0,185
19414281,4040993,Kelly,40.74371,-74.00244,Entire home/apt,3,0,,,1,0,400
13564911,16904031,Kiley,40.71692,-73.98874,Entire home/apt,2,0,,,1,0,175
8525477,22420999,Herman,40.69474,-73.83038,Private room,1,7,2019-05-18,0.15,5,344,55
30364369,12838954,Vincent,40.68696,-73.94382,Entire home/apt,7,0,,,1,0,375
4733949,706623,Emilia,40.694390000000006,-73.9068,Private room,4,5,2016-02-10,0.09,4,98,69
21908265,159091490,Melissa,40.67733,-73.98406999999999,Private room,1,26,2019-06-30,1.32,17,363,119
18488833,10285950,Christina,40.64493,-73.95488,Entire home/apt,6,14,2019-03-24,0.53,3,339,85
19609107,137884235,Megan,40.69384,-73.9422,Private room,3,4,2017-07-20,0.16,1,0,44
15083823,7018895,Risha,40.677479999999996,-74.00989,Entire home/apt,2,132,2019-07-03,3.91,1,244,85
36449668,272265577,Yetunde,40.68927,-73.93665,Private room,1,0,,,2,134,50
21596520,45835291,Shareef,40.82397,-73.95453,Private room,11,124,2019-07-02,6.1,6,95,55
19855804,79527116,Pamela,40.72826,-73.98156,Entire home/apt,30,41,2018-12-26,1.72,1,244,110
6084475,31534322,Nia,40.74637,-73.94615,Private room,2,83,2019-06-03,1.65,4,81,60
6436433,2433524,Daniel,40.78125,-73.94851,Entire home/apt,3,0,,,1,0,250
11602574,16899697,Martín,40.718540000000004,-73.98362,Private room,2,2,2017-01-02,0.07,1,0,250
14290760,87242862,Randi,40.76338,-73.98911,Private room,2,154,2019-06-17,4.47,1,266,120
21721946,8334983,Ashley,40.724109999999996,-73.98872,Entire home/apt,5,4,2018-08-15,0.2,1,0,99
8721348,45774138,Jeff & Stephanie,40.763020000000004,-73.98833,Entire home/apt,3,55,2019-06-24,1.23,1,46,500
15971308,1301576,Siobhan,40.80604,-73.94233,Private room,3,97,2019-06-24,3.07,2,14,85
28369307,4128972,Alina,40.79388,-73.94594000000001,Private room,1,33,2019-06-30,3.41,1,26,105
3673938,4578923,Normandy,40.69437,-73.95841,Private room,5,18,2019-05-19,0.79,1,0,50
682155,3392287,Roxanne,40.79417,-73.95101,Private room,3,218,2019-06-23,2.63,2,12,92
13436489,28370925,En & Lora,40.63974,-74.01944,Private room,5,81,2018-07-22,2.18,4,0,41
34785509,74211590,Thelma,40.80015,-73.95387,Private room,14,1,2019-05-17,0.57,1,0,50
7760406,39060578,Scott,40.743359999999996,-74.00278,Entire home/apt,6,45,2018-01-02,0.99,1,0,200
7561314,39636434,Peter,40.69095,-73.92385999999999,Private room,4,8,2017-08-30,0.17,1,0,48
7054585,24830540,David,40.71188,-73.95088,Private room,1,1,2015-10-07,0.02,1,0,85
31838301,14743889,Kellie,40.68427,-73.9546,Private room,1,18,2019-07-01,3.33,1,16,46
34679993,258066921,Nathalie + Nick,40.762,-73.9634,Entire home/apt,3,4,2019-06-21,2.61,1,258,300
19011267,6720525,Robert,40.72204,-73.97924,Private room,3,64,2019-06-30,2.58,1,224,100
30377430,226410657,Nina,40.68553,-73.93215,Private room,30,1,2019-05-25,0.65,27,346,42
7498981,24377694,Kori,40.67628,-73.95421999999999,Private room,1,1,2017-08-19,0.04,3,0,55
13514115,3886532,Tom & Lily,40.70859,-73.9221,Private room,2,101,2019-06-22,2.83,3,300,65
1869432,9744172,Melissa,40.72838,-74.00461999999999,Entire home/apt,2,7,2018-01-01,0.1,1,265,209
34446902,164051353,Warren,40.74443,-73.99166,Private room,1,7,2019-06-28,3.75,3,87,140
21230883,17330515,Natalie,40.70796,-73.92412,Private room,2,3,2019-05-30,1.55,1,73,78
6227871,36119,Seth,40.68465,-73.96051,Entire home/apt,14,3,2016-07-19,0.08,1,0,95
2771126,2333018,Max,40.68998,-73.96072,Entire home/apt,10,8,2019-01-03,0.13,1,157,142
