Date,Daily_min
1/1/81,20.7
2/1/81,17.9
3/1/81,18.8
4/1/81,14.6
5/1/81,15.8
6/1/81,15.8
7/1/81,15.8
8/1/81,17.4
9/1/81,21.8
10/1/81,20
11/1/81,16.2
12/1/81,13.3
13/1/81,16.7
14/1/81,21.5
15/1/81,25
16/1/81,20.7
17/1/81,20.6
18/1/81,24.8
19/1/81,17.7
20/1/81,15.5
21/1/81,18.2
22/1/81,12.1
23/1/81,14.4
24/1/81,16
25/1/81,16.5
26/1/81,18.7
27/1/81,19.4
28/1/81,17.2
29/1/81,15.5
30/1/81,15.1
31/1/81,15.4
1/2/81,15.3
2/2/81,18.8
3/2/81,21.9
4/2/81,19.9
5/2/81,16.6
6/2/81,16.8
7/2/81,14.6
8/2/81,17.1
9/2/81,25
10/2/81,15
11/2/81,13.7
12/2/81,13.9
13/2/81,18.3
14/2/81,22
15/2/81,22.1
16/2/81,21.2
17/2/81,18.4
18/2/81,16.6
19/2/81,16.1
20/2/81,15.7
21/2/81,16.6
22/2/81,16.5
23/2/81,14.4
24/2/81,14.4
25/2/81,18.5
26/2/81,16.9
27/2/81,17.5
28/2/81,21.2
1/3/81,17.8
2/3/81,18.6
3/3/81,17
4/3/81,16
5/3/81,13.3
6/3/81,14.3
7/3/81,11.4
8/3/81,16.3
9/3/81,16.1
10/3/81,11.8
11/3/81,12.2
12/3/81,14.7
13/3/81,11.8
14/3/81,11.3
15/3/81,10.6
16/3/81,11.7
17/3/81,14.2
18/3/81,11.2
19/3/81,16.9
20/3/81,16.7
21/3/81,8.1
22/3/81,8
23/3/81,8.8
24/3/81,13.4
25/3/81,10.9
26/3/81,13.4
27/3/81,11
28/3/81,15
29/3/81,15.7
30/3/81,14.5
31/3/81,15.8
1/4/81,16.7
2/4/81,16.8
3/4/81,17.5
4/4/81,17.1
5/4/81,18.1
6/4/81,16.6
7/4/81,10
8/4/81,14.9
9/4/81,15.9
10/4/81,13
11/4/81,7.6
12/4/81,11.5
13/4/81,13.5
14/4/81,13
15/4/81,13.3
16/4/81,12.1
17/4/81,12.4
18/4/81,13.2
19/4/81,13.8
20/4/81,10.6
21/4/81,9
22/4/81,10
23/4/81,9.8
24/4/81,11.5
25/4/81,8.9
26/4/81,7.4
27/4/81,9.9
28/4/81,9.3
29/4/81,9.9
30/4/81,7.4
1/5/81,8.6
2/5/81,11.9
3/5/81,14
4/5/81,8.6
5/5/81,10
6/5/81,13.5
7/5/81,12
8/5/81,10.5
9/5/81,10.7
10/5/81,8.1
11/5/81,10.1
12/5/81,10.6
13/5/81,5.3
14/5/81,6.6
15/5/81,8.5
16/5/81,11.2
17/5/81,9.8
18/5/81,5.9
19/5/81,3.2
20/5/81,2.1
21/5/81,3.4
22/5/81,5.4
23/5/81,9.6
24/5/81,11.5
25/5/81,12.3
26/5/81,12.6
27/5/81,11
28/5/81,11.2
29/5/81,11.4
30/5/81,11.8
31/5/81,12.8
1/6/81,11.6
2/6/81,10.6
3/6/81,9.8
4/6/81,11.2
5/6/81,5.7
6/6/81,7.1
7/6/81,2.5
8/6/81,3.5
9/6/81,4.6
10/6/81,11
11/6/81,5.7
12/6/81,7.7
13/6/81,10.4
14/6/81,11.4
15/6/81,9.2
16/6/81,6.1
17/6/81,2.7
18/6/81,4.3
19/6/81,6.3
20/6/81,3.8
21/6/81,4.4
22/6/81,7.1
23/6/81,4.8
24/6/81,5.8
25/6/81,6.2
26/6/81,7.3
27/6/81,9.2
28/6/81,10.2
29/6/81,9.5
30/6/81,9.5
1/7/81,10.7
2/7/81,10
3/7/81,6.5
4/7/81,7
5/7/81,7.4
6/7/81,8.1
7/7/81,6.6
8/7/81,8.3
9/7/81,8.9
10/7/81,4.6
11/7/81,6.8
12/7/81,5.7
13/7/81,6.1
14/7/81,7
15/7/81,7.2
16/7/81,6.3
17/7/81,8.8
18/7/81,5
19/7/81,7.4
20/7/81,10.1
21/7/81,12
22/7/81,9
23/7/81,8.9
24/7/81,9.8
25/7/81,9
26/7/81,9.2
27/7/81,7.7
28/7/81,8
29/7/81,6.1
30/7/81,3.5
31/7/81,3.2
1/8/81,5.7
2/8/81,7.7
3/8/81,9
4/8/81,10
5/8/81,6.2
6/8/81,6.9
7/8/81,6.5
8/8/81,6.8
9/8/81,7
10/8/81,5.2
11/8/81,3
12/8/81,5.6
13/8/81,7.9
14/8/81,9
15/8/81,8.6
16/8/81,10.3
17/8/81,10.5
18/8/81,7.6
19/8/81,9.7
20/8/81,12.5
21/8/81,7.4
22/8/81,7.9
23/8/81,3.9
24/8/81,6.6
25/8/81,4.6
26/8/81,7
27/8/81,6
28/8/81,5.5
29/8/81,8.1
30/8/81,5.5
31/8/81,6.2
1/9/81,8
2/9/81,10.3
3/9/81,9.8
4/9/81,9.6
5/9/81,8.5
6/9/81,7.5
7/9/81,11.2
8/9/81,14.6
9/9/81,11.7
10/9/81,7.8
11/9/81,12.3
12/9/81,10.1
13/9/81,11.5
14/9/81,7.3
15/9/81,10.9
16/9/81,14.1
17/9/81,10.7
18/9/81,16.9
19/9/81,10.5
20/9/81,6.5
21/9/81,11
22/9/81,6.3
23/9/81,10.5
24/9/81,7.2
25/9/81,7.6
26/9/81,10.7
27/9/81,7.8
28/9/81,9.6
29/9/81,11.4
30/9/81,12.4
1/10/81,8.9
2/10/81,13.2
3/10/81,8.6
4/10/81,6.2
5/10/81,11.4
6/10/81,13.2
7/10/81,14.3
8/10/81,7.3
9/10/81,12.9
